Unnamed: 0,Unnamed: 0.1,Company Name,Location,Datum,Detail,Status Rocket, Rocket,Status Mission
39,39,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Feb 15, 1999 04:00 UTC",Falcon 9 | Payload,StatusActive,174.8,Success
40,40,Roscosmos,"LC-39A, Kennedy Space Center, Florida, USA","Fri Mar 15, 1959 04:00 UTC",Ariane 5 | Payload,StatusActive,145.6,Success
41,41,Roscosmos,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Sep 15, 2016 04:00 UTC",Atlas V | Payload,StatusActive,92.2,Success
42,42,NASA,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Feb 15, 1958 04:00 UTC",Falcon 9 | Payload,StatusActive,45.6,Success
43,43,SpaceX,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Sep 15, 1969 04:00 UTC",Delta IV | Payload,StatusActive,52.3,Success
44,44,Arianespace,"ELA-3, Guiana Space Centre, French Guiana","Fri May 15, 2009 04:00 UTC",Soyuz 2 | Payload,StatusActive,,Success
45,45,ULA,"ELA-3, Guiana Space Centre, French Guiana","Fri Oct 15, 1963 04:00 UTC",Atlas V | Payload,StatusActive,29.7,Success
46,46,Roscosmos,"ELA-3, Guiana Space Centre, French Guiana","Fri Feb 15, 1965 04:00 UTC",Soyuz 2 | Payload,StatusActive,,Success
47,47,Roscosmos,"LC-39A, Kennedy Space Center, Florida, USA","Fri Feb 15, 1995 04:00 UTC",Delta IV | Payload,StatusActive,178.1,Success
48,48,Roscosmos,"LC-39A, Kennedy Space Center, Florida, USA","Fri Dec 15, 1967 04:00 UTC",Falcon 9 | Payload,StatusActive,161.6,Success
49,49,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Fri Oct 15, 2017 04:00 UTC",Delta IV | Payload,StatusActive,,Success
50,50,NASA,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Jun 15, 1973 04:00 UTC",Atlas V | Payload,StatusActive,143.2,Failure
51,51,ULA,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Oct 15, 1994 04:00 UTC",Delta IV | Payload,StatusActive,152.6,Failure
52,52,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Fri Aug 15, 1991 04:00 UTC",Soyuz 2 | Payload,StatusActive,37.5,Success
53,53,Roscosmos,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Dec 15, 1981 04:00 UTC",Atlas V | Payload,StatusActive,152.8,Success
54,54,NASA,"ELA-3, Guiana Space Centre, French Guiana","Fri Jun 15, 1996 04:00 UTC",Ariane 5 | Payload,StatusActive,162.3,Success
55,55,ULA,"LC-39A, Kennedy Space Center, Florida, USA","Fri May 15, 2014 04:00 UTC",Atlas V | Payload,StatusActive,27.3,Success
56,56,ULA,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Oct 15, 2003 04:00 UTC",Soyuz 2 | Payload,StatusActive,158.2,Success
57,57,Arianespace,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Oct 15, 2020 04:00 UTC",Ariane 5 | Payload,StatusActive,136.7,Success
58,58,Arianespace,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Nov 15, 1967 04:00 UTC",Ariane 5 | Payload,StatusActive,,Success
59,59,NASA,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Apr 15, 1982 04:00 UTC",Falcon 9 | Payload,StatusActive,34.4,Success
60,60,ULA,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Sep 15, 1989 04:00 UTC",Falcon 9 | Payload,StatusActive,161.6,Success
61,61,Arianespace,"ELA-3, Guiana Space Centre, French Guiana","Fri Jan 15, 1990 04:00 UTC",Soyuz 2 | Payload,StatusActive,175.0,Success
62,62,SpaceX,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Sep 15, 2001 04:00 UTC",Soyuz 2 | Payload,StatusActive,73.6,Success
63,63,ULA,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Aug 15, 2005 04:00 UTC",Atlas V | Payload,StatusActive,33.0,Success
64,64,ULA,"LC-39A, Kennedy Space Center, Florida, USA","Fri Mar 15, 2021 04:00 UTC",Atlas V | Payload,StatusActive,,Success
65,65,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Dec 15, 1976 04:00 UTC",Falcon 9 | Payload,StatusActive,196.8,Success
66,66,ULA,"LC-39A, Kennedy Space Center, Florida, USA","Fri Apr 15, 1975 04:00 UTC",Ariane 5 | Payload,StatusActive,24.8,Success
67,67,NASA,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Jun 15, 2015 04:00 UTC",Atlas V | Payload,StatusActive,,Success
68,68,Arianespace,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Jul 15, 1976 04:00 UTC",Delta IV | Payload,StatusActive,134.9,Success
69,69,Roscosmos,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Mar 15, 1979 04:00 UTC",Atlas V | Payload,StatusActive,61.6,Failure
70,70,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Nov 15, 2000 04:00 UTC",Delta IV | Payload,StatusActive,111.3,Success
71,71,Arianespace,"ELA-3, Guiana Space Centre, French Guiana","Fri May 15, 2011 04:00 UTC",Ariane 5 | Payload,StatusActive,,Success
72,72,SpaceX,"ELA-3, Guiana Space Centre, French Guiana","Fri Nov 15, 1961 04:00 UTC",Delta IV | Payload,StatusActive,96.5,Success
73,73,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Nov 15, 1957 04:00 UTC",Soyuz 2 | Payload,StatusActive,49.4,Success
74,74,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Nov 15, 2006 04:00 UTC",Ariane 5 | Payload,StatusActive,,Success
75,75,Roscosmos,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Mar 15, 2017 04:00 UTC",Falcon 9 | Payload,StatusActive,106.9,Success
76,76,Roscosmos,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Apr 15, 2011 04:00 UTC",Atlas V | Payload,StatusActive,40.3,Success
77,77,NASA,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Apr 15, 2011 04:00 UTC",Soyuz 2 | Payload,StatusActive,104.2,Success
78,78,ULA,"ELA-3, Guiana Space Centre, French Guiana","Fri Dec 15, 1994 04:00 UTC",Delta IV | Payload,StatusActive,39.3,Success
79,79,Arianespace,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Jun 15, 2017 04:00 UTC",Soyuz 2 | Payload,StatusActive,47.2,Success
80,80,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri May 15, 1965 04:00 UTC",Ariane 5 | Payload,StatusActive,,Failure
81,81,NASA,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri May 15, 1962 04:00 UTC",Delta IV | Payload,StatusActive,,Success
82,82,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Fri Oct 15, 1983 04:00 UTC",Ariane 5 | Payload,StatusActive,40.6,Success
83,83,ULA,"ELA-3, Guiana Space Centre, French Guiana","Fri Dec 15, 2003 04:00 UTC",Falcon 9 | Payload,StatusActive,42.7,Success
84,84,Arianespace,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Oct 15, 1993 04:00 UTC",Soyuz 2 | Payload,StatusActive,141.9,Failure
85,85,Arianespace,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Jan 15, 1972 04:00 UTC",Falcon 9 | Payload,StatusActive,91.8,Success
86,86,ULA,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Feb 15, 1982 04:00 UTC",Falcon 9 | Payload,StatusActive,92.2,Success
87,87,Arianespace,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Jul 15, 1984 04:00 UTC",Soyuz 2 | Payload,StatusActive,184.9,Success
88,88,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Sep 15, 1986 04:00 UTC",Ariane 5 | Payload,StatusActive,,Success
89,89,NASA,"ELA-3, Guiana Space Centre, French Guiana","Fri Jul 15, 2012 04:00 UTC",Soyuz 2 | Payload,StatusActive,,Success
90,90,NASA,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri May 15, 2002 04:00 UTC",Ariane 5 | Payload,StatusActive,159.0,Success
91,91,ULA,"ELA-3, Guiana Space Centre, French Guiana","Fri Oct 15, 2012 04:00 UTC",Soyuz 2 | Payload,StatusActive,62.4,Success
92,92,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Feb 15, 1972 04:00 UTC",Soyuz 2 | Payload,StatusActive,,Failure
93,93,SpaceX,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Feb 15, 1985 04:00 UTC",Delta IV | Payload,StatusActive,,Success
94,94,Arianespace,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Jan 15, 2001 04:00 UTC",Soyuz 2 | Payload,StatusActive,,Success
95,95,Arianespace,"LC-39A, Kennedy Space Center, Florida, USA","Fri Mar 15, 1962 04:00 UTC",Falcon 9 | Payload,StatusActive,,Success
96,96,ULA,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Jan 15, 2002 04:00 UTC",Atlas V | Payload,StatusActive,157.3,Success
97,97,ULA,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Feb 15, 1985 04:00 UTC",Atlas V | Payload,StatusActive,,Success
98,98,ULA,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Jun 15, 1962 04:00 UTC",Delta IV | Payload,StatusActive,,Success
99,99,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Fri Apr 15, 1971 04:00 UTC",Falcon 9 | Payload,StatusActive,,Success
100,100,NASA,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Dec 15, 1987 04:00 UTC",Soyuz 2 | Payload,StatusActive,102.2,Success
101,101,Roscosmos,"LC-39A, Kennedy Space Center, Florida, USA","Fri Dec 15, 1965 04:00 UTC",Delta IV | Payload,StatusActive,101.9,Success
102,102,Arianespace,"ELA-3, Guiana Space Centre, French Guiana","Fri Nov 15, 1975 04:00 UTC",Soyuz 2 | Payload,StatusActive,42.5,Success
103,103,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Fri May 15, 1996 04:00 UTC",Atlas V | Payload,StatusActive,,Success
104,104,ULA,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Feb 15, 2011 04:00 UTC",Ariane 5 | Payload,StatusActive,48.7,Success
105,105,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Jan 15, 2009 04:00 UTC",Atlas V | Payload,StatusActive,189.8,Success
106,106,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Fri Jul 15, 2000 04:00 UTC",Atlas V | Payload,StatusActive,104.3,Success
107,107,Arianespace,"ELA-3, Guiana Space Centre, French Guiana","Fri Jun 15, 1967 04:00 UTC",Falcon 9 | Payload,StatusActive,174.4,Success
108,108,Roscosmos,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Sep 15, 2010 04:00 UTC",Atlas V | Payload,StatusActive,181.0,Success
109,109,ULA,"ELA-3, Guiana Space Centre, French Guiana","Fri Nov 15, 1978 04:00 UTC",Atlas V | Payload,StatusActive,187.5,Success
110,110,Arianespace,"LC-39A, Kennedy Space Center, Florida, USA","Fri Aug 15, 1982 04:00 UTC",Falcon 9 | Payload,StatusActive,67.7,Failure
111,111,NASA,"ELA-3, Guiana Space Centre, French Guiana","Fri Oct 15, 2022 04:00 UTC",Delta IV | Payload,StatusActive,91.4,Success
112,112,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Jan 15, 1980 04:00 UTC",Falcon 9 | Payload,StatusActive,129.2,Success
113,113,ULA,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Nov 15, 2016 04:00 UTC",Soyuz 2 | Payload,StatusActive,172.2,Success
114,114,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Fri Sep 15, 2003 04:00 UTC",Atlas V | Payload,StatusActive,101.5,Success
115,115,NASA,"ELA-3, Guiana Space Centre, French Guiana","Fri Sep 15, 1958 04:00 UTC",Soyuz 2 | Payload,StatusActive,74.0,Success
116,116,Roscosmos,"LC-39A, Kennedy Space Center, Florida, USA","Fri Aug 15, 1966 04:00 UTC",Atlas V | Payload,StatusActive,102.8,Success
117,117,Arianespace,"LC-39A, Kennedy Space Center, Florida, USA","Fri Sep 15, 1984 04:00 UTC",Atlas V | Payload,StatusActive,60.8,Success
118,118,SpaceX,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Mar 15, 1958 04:00 UTC",Atlas V | Payload,StatusActive,,Success
119,119,SpaceX,"ELA-3, Guiana Space Centre, French Guiana","Fri Mar 15, 2017 04:00 UTC",Falcon 9 | Payload,StatusActive,107.2,Success
120,120,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Fri Oct 15, 1967 04:00 UTC",Ariane 5 | Payload,StatusActive,,Success
121,121,SpaceX,"ELA-3, Guiana Space Centre, French Guiana","Fri Apr 15, 1972 04:00 UTC",Falcon 9 | Payload,StatusActive,122.0,Success
122,122,ULA,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri May 15, 2003 04:00 UTC",Soyuz 2 | Payload,StatusActive,97.6,Success
123,123,SpaceX,"ELA-3, Guiana Space Centre, French Guiana","Fri Sep 15, 1984 04:00 UTC",Ariane 5 | Payload,StatusActive,86.9,Success
124,124,Roscosmos,"LC-39A, Kennedy Space Center, Florida, USA","Fri Dec 15, 1972 04:00 UTC",Falcon 9 | Payload,StatusActive,138.0,Success
125,125,ULA,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Dec 15, 2015 04:00 UTC",Soyuz 2 | Payload,StatusActive,185.5,Success
126,126,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Fri Jan 15, 1966 04:00 UTC",Ariane 5 | Payload,StatusActive,49.7,Success
127,127,Roscosmos,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri May 15, 2020 04:00 UTC",Atlas V | Payload,StatusActive,,Success
128,128,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Aug 15, 2012 04:00 UTC",Atlas V | Payload,StatusActive,,Success
129,129,Roscosmos,"ELA-3, Guiana Space Centre, French Guiana","Fri Mar 15, 2006 04:00 UTC",Falcon 9 | Payload,StatusActive,97.0,Success
130,130,Roscosmos,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Jul 15, 2012 04:00 UTC",Soyuz 2 | Payload,StatusActive,174.4,Success
131,131,ULA,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Oct 15, 1982 04:00 UTC",Ariane 5 | Payload,StatusActive,,Success
132,132,ULA,"LC-39A, Kennedy Space Center, Florida, USA","Fri Nov 15, 1958 04:00 UTC",Delta IV | Payload,StatusActive,,Success
133,133,SpaceX,"ELA-3, Guiana Space Centre, French Guiana","Fri Aug 15, 1981 04:00 UTC",Atlas V | Payload,StatusActive,55.0,Failure
134,134,Arianespace,"ELA-3, Guiana Space Centre, French Guiana","Fri Oct 15, 1969 04:00 UTC",Delta IV | Payload,StatusActive,128.1,Success
135,135,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Dec 15, 1966 04:00 UTC",Ariane 5 | Payload,StatusActive,,Success
136,136,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Fri Jun 15, 1970 04:00 UTC",Falcon 9 | Payload,StatusActive,,Success
137,137,ULA,"ELA-3, Guiana Space Centre, French Guiana","Fri Jun 15, 1978 04:00 UTC",Falcon 9 | Payload,StatusActive,,Success
138,138,SpaceX,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Sep 15, 1997 04:00 UTC",Soyuz 2 | Payload,StatusActive,132.9,Failure
139,139,ULA,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Sep 15, 1992 04:00 UTC",Ariane 5 | Payload,StatusActive,55.6,Success
140,140,ULA,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Nov 15, 2013 04:00 UTC",Atlas V | Payload,StatusActive,,Success
141,141,SpaceX,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Apr 15, 1999 04:00 UTC",Soyuz 2 | Payload,StatusActive,44.5,Success
142,142,Arianespace,"ELA-3, Guiana Space Centre, French Guiana","Fri Aug 15, 1990 04:00 UTC",Atlas V | Payload,StatusActive,49.6,Failure
143,143,ULA,"LC-39A, Kennedy Space Center, Florida, USA","Fri Feb 15, 1989 04:00 UTC",Delta IV | Payload,StatusActive,169.5,Success
144,144,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Jul 15, 2009 04:00 UTC",Soyuz 2 | Payload,StatusActive,29.2,Success
145,145,Arianespace,"LC-39A, Kennedy Space Center, Florida, USA","Fri Jan 15, 1961 04:00 UTC",Delta IV | Payload,StatusActive,86.7,Failure
146,146,Arianespace,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Jun 15, 1958 04:00 UTC",Falcon 9 | Payload,StatusActive,45.9,Success
147,147,ULA,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Feb 15, 1980 04:00 UTC",Ariane 5 | Payload,StatusActive,99.4,Success
148,148,Roscosmos,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Oct 15, 1970 04:00 UTC",Soyuz 2 | Payload,StatusActive,199.3,Success
149,149,ULA,"LC-39A, Kennedy Space Center, Florida, USA","Fri Sep 15, 1997 04:00 UTC",Soyuz 2 | Payload,StatusActive,179.6,Success
150,150,NASA,"ELA-3, Guiana Space Centre, French Guiana","Fri Mar 15, 2003 04:00 UTC",Atlas V | Payload,StatusActive,41.0,Success
151,151,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Feb 15, 1959 04:00 UTC",Falcon 9 | Payload,StatusActive,79.1,Success
152,152,Arianespace,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Jul 15, 2010 04:00 UTC",Soyuz 2 | Payload,StatusActive,166.6,Success
153,153,NASA,"ELA-3, Guiana Space Centre, French Guiana","Fri May 15, 1976 04:00 UTC",Delta IV | Payload,StatusActive,187.7,Success
154,154,Roscosmos,"ELA-3, Guiana Space Centre, French Guiana","Fri Sep 15, 2015 04:00 UTC",Ariane 5 | Payload,StatusActive,,Success
155,155,Arianespace,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Feb 15, 1978 04:00 UTC",Atlas V | Payload,StatusActive,154.8,Success
156,156,NASA,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Feb 15, 1983 04:00 UTC",Ariane 5 | Payload,StatusActive,,Success
157,157,ULA,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Jan 15, 1986 04:00 UTC",Atlas V | Payload,StatusActive,130.7,Success
158,158,NASA,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri May 15, 2013 04:00 UTC",Falcon 9 | Payload,StatusActive,,Success
159,159,Arianespace,"ELA-3, Guiana Space Centre, French Guiana","Fri Nov 15, 1964 04:00 UTC",Ariane 5 | Payload,StatusActive,,Success
160,160,Roscosmos,"ELA-3, Guiana Space Centre, French Guiana","Fri Dec 15, 2004 04:00 UTC",Atlas V | Payload,StatusActive,103.9,Success
161,161,Roscosmos,"ELA-3, Guiana Space Centre, French Guiana","Fri Mar 15, 1976 04:00 UTC",Atlas V | Payload,StatusActive,153.5,Success
162,162,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Nov 15, 1974 04:00 UTC",Delta IV | Payload,StatusActive,134.7,Success
163,163,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Fri Apr 15, 2002 04:00 UTC",Atlas V | Payload,StatusActive,143.5,Success
164,164,Arianespace,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Aug 15, 1971 04:00 UTC",Delta IV | Payload,StatusActive,100.7,Success
165,165,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Feb 15, 1969 04:00 UTC",Falcon 9 | Payload,StatusActive,148.0,Success
166,166,Roscosmos,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Jul 15, 1999 04:00 UTC",Atlas V | Payload,StatusActive,26.4,Success
167,167,SpaceX,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Nov 15, 2001 04:00 UTC",Atlas V | Payload,StatusActive,124.9,Success
168,168,Arianespace,"ELA-3, Guiana Space Centre, French Guiana","Fri Mar 15, 1979 04:00 UTC",Soyuz 2 | Payload,StatusActive,190.8,Success
169,169,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Jun 15, 1976 04:00 UTC",Ariane 5 | Payload,StatusActive,147.4,Success
170,170,ULA,"ELA-3, Guiana Space Centre, French Guiana","Fri Dec 15, 1997 04:00 UTC",Falcon 9 | Payload,StatusActive,71.5,Success
171,171,Roscosmos,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Apr 15, 1974 04:00 UTC",Atlas V | Payload,StatusActive,194.1,Success
172,172,SpaceX,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Feb 15, 1987 04:00 UTC",Falcon 9 | Payload,StatusActive,39.9,Success
